1		0.55000000		0.28404719		1e+02		
2		0.32500000		-0.034501045		69		
3		0.43750000		0.13509274		26		
4		0.38125000		0.054658084		15		
5		0.35312500		0.011430673		8		
6		0.33906250		-0.01116185		4.1		
7		0.34609375		0.00022321406		2		
8		0.34257813		-0.0054465584		1		
9		0.34433594		-0.0026060526		0.51		
10		0.34521484		-0.0011900231		0.25		
11		0.34565430		-0.0004830566		0.13		
12		0.34587402		-0.00012983442		0.064		
13		0.34598389		4.6711513e-05		0.032		
14		0.34592896		-4.1556029e-05		0.016		
15		0.34595642		2.5790981e-06		0.0079		
16		0.34594269		-1.9488126e-05		0.004		
17		0.34594955		-8.4544294e-06		0.002		
18		0.34595299		-2.9376444e-06		0.00099		
19		0.34595470		-1.7926788e-07		0.0005		
20		0.34595556		1.1999164e-06		0.00025		
21		0.34595513		5.103246e-07		0.00012		
22		0.34595492		1.6552844e-07		6.2e-05		
23		0.34595481		-6.8697007e-09		3.1e-05		
24		0.34595487		7.9329375e-08		1.6e-05		
25		0.34595484		3.6229839e-08		7.8e-06		
26		0.34595482		1.4680069e-08		3.9e-06		
27		0.34595482		3.9051843e-09		1.9e-06		
28		0.34595481		-1.4822583e-09		9.7e-07		
